# Total Phase Data Center(tm) v6.61
# (c) 2005-2013 Total Phase, Inc.
# www.totalphase.com
#
# Fri Nov 21 12:41:12 2014
#
# Level,Ch,Index,m:s.ms.us,Len,Err,Bitrate,ID,Record,DLC,Data
0,A,292,0:12.835.312,1 B,,250 KHz,002,Data Frame,1,1F
0,A,293,0:12.837.872,1 B,,250 KHz,002,Data Frame,1,20
0,A,294,0:12.838.105,1 B,,250 KHz,002,Data Frame,1,21
0,A,295,0:12.838.337,1 B,,250 KHz,002,Data Frame,1,22
0,A,296,0:12.838.569,1 B,,250 KHz,002,Data Frame,1,23
0,A,297,0:12.838.805,1 B,,250 KHz,002,Data Frame,1,24
0,A,298,0:12.839.037,1 B,,250 KHz,002,Data Frame,1,25
0,A,299,0:12.839.354,1 B,,250 KHz,002,Data Frame,1,26
0,A,300,0:12.839.586,1 B,,250 KHz,002,Data Frame,1,27
0,A,301,0:12.839.822,1 B,,250 KHz,002,Data Frame,1,28
0,A,302,0:12.840.058,1 B,,250 KHz,002,Data Frame,1,29
0,A,303,0:12.840.291,1 B,,250 KHz,002,Data Frame,1,2A
0,A,304,0:12.840.527,1 B,,250 KHz,002,Data Frame,1,2B
0,A,305,0:12.840.759,1 B,,250 KHz,002,Data Frame,1,2C
0,A,306,0:12.840.991,1 B,,250 KHz,002,Data Frame,1,2D
0,A,307,0:12.841.228,1 B,,250 KHz,002,Data Frame,1,2E
0,A,308,0:12.841.464,1 B,,250 KHz,002,Data Frame,1,2F
0,A,309,0:12.842.296,1 B,,250 KHz,002,Data Frame,1,30
0,A,310,0:12.842.528,1 B,,250 KHz,002,Data Frame,1,31
0,A,311,0:12.842.764,1 B,,250 KHz,002,Data Frame,1,32
0,A,312,0:12.842.997,1 B,,250 KHz,002,Data Frame,1,33
0,A,313,0:12.843.229,1 B,,250 KHz,002,Data Frame,1,34
0,A,314,0:12.843.465,1 B,,250 KHz,002,Data Frame,1,35
0,A,315,0:12.843.753,1 B,,250 KHz,002,Data Frame,1,36
0,A,316,0:12.843.986,1 B,,250 KHz,002,Data Frame,1,37
0,A,317,0:12.844.218,1 B,,250 KHz,002,Data Frame,1,38
0,A,318,0:12.844.450,1 B,,250 KHz,002,Data Frame,1,39
0,A,319,0:12.844.686,1 B,,250 KHz,002,Data Frame,1,3A
0,A,320,0:12.844.923,1 B,,250 KHz,002,Data Frame,1,3B
0,A,321,0:12.845.155,1 B,,250 KHz,002,Data Frame,1,3C
0,A,322,0:12.845.387,1 B,,250 KHz,002,Data Frame,1,3D
0,A,323,0:12.845.627,1 B,,250 KHz,002,Data Frame,1,3E
0,A,324,0:12.845.863,1 B,,250 KHz,002,Data Frame,1,3F
0,A,325,0:12.846.104,1 B,,250 KHz,002,Data Frame,1,40
0,A,326,0:12.846.344,1 B,,250 KHz,002,Data Frame,1,41
0,A,327,0:12.846.576,1 B,,250 KHz,002,Data Frame,1,42
0,A,328,0:12.846.808,1 B,,250 KHz,002,Data Frame,1,43
0,A,329,0:12.847.045,1 B,,250 KHz,002,Data Frame,1,44
0,A,330,0:12.847.277,1 B,,250 KHz,002,Data Frame,1,45
0,A,331,0:12.847.589,1 B,,250 KHz,002,Data Frame,1,46
0,A,332,0:12.847.825,1 B,,250 KHz,002,Data Frame,1,47
0,A,333,0:12.848.062,1 B,,250 KHz,002,Data Frame,1,48
0,A,334,0:12.848.294,1 B,,250 KHz,002,Data Frame,1,49
0,A,335,0:12.848.530,1 B,,250 KHz,002,Data Frame,1,4A
0,A,336,0:12.848.762,1 B,,250 KHz,002,Data Frame,1,4B
0,A,337,0:12.848.998,1 B,,250 KHz,002,Data Frame,1,4C
0,A,338,0:12.849.231,1 B,,250 KHz,002,Data Frame,1,4D
0,A,339,0:12.849.463,1 B,,250 KHz,002,Data Frame,1,4E
0,A,340,0:12.849.703,1 B,,250 KHz,002,Data Frame,1,4F
0,A,341,0:12.853.743,1 B,,250 KHz,002,Data Frame,1,50
0,A,342,0:12.853.979,1 B,,250 KHz,002,Data Frame,1,51
0,A,343,0:12.854.212,1 B,,250 KHz,002,Data Frame,1,52
0,A,344,0:12.854.444,1 B,,250 KHz,002,Data Frame,1,53
0,A,345,0:12.854.676,1 B,,250 KHz,002,Data Frame,1,54
0,A,346,0:12.854.908,1 B,,250 KHz,002,Data Frame,1,55
0,A,347,0:12.855.204,1 B,,250 KHz,002,Data Frame,1,56
0,A,348,0:12.855.437,1 B,,250 KHz,002,Data Frame,1,57
0,A,349,0:12.855.677,1 B,,250 KHz,002,Data Frame,1,58
0,A,350,0:12.855.913,1 B,,250 KHz,002,Data Frame,1,59
0,A,351,0:12.856.145,1 B,,250 KHz,002,Data Frame,1,5A
0,A,352,0:12.856.378,1 B,,250 KHz,002,Data Frame,1,5B
0,A,353,0:12.856.610,1 B,,250 KHz,002,Data Frame,1,5C
0,A,354,0:12.856.846,1 B,,250 KHz,002,Data Frame,1,5D
